Authors,Country,PubID,Affiliation,year
LRM,Argentina,3,Latin America,2005
MRF,Argentina,3,Latin America,2005
TDS,Brazil,5,Latin America,2005
STS,Brazil,5,Latin America,2005
OFG,Argentina,10,Latin America,2005
RGMN,Brazil,10,Latin America,2005
SNN,Germany,10,Europe,2005
HDE,Belgium,12,Europe,2005
DRV,Belgium,12,Europe,2005
HND,Belgium,12,Europe,2005
MC,Brazil,16,Latin America,2005
MCG,Brazil,16,Latin America,2005
CCLL,Argentina,17,Latin America,2005
ACS,Argentina,17,Latin America,2005
GAM,Argentina,17,Latin America,2005
SXC,Argentina,17,Latin America,2005
