main,coauthor,PubId
FPR,JDB,1
FPR,LBC,1
FPR,ASG,1
FPR,LJ,1
RC,LF,2
RC,CB,2
RC,JFC,2
RC,AC,2
RC,BC,2
RC,VJ,2
RC,JL,2
RC,TR,2
RC,VF,2
RC,CL,2
JM,DPA,3
JM,WAS,3
JM,MRW,3
JM,WKD,3
JM,CCG,3
JM,VNL,3
JM,DC,3
JM,JJC,3
TDR,HBF,4
TDR,LFS,4
TDR,CYM,4
TDR,MMC,4
KRF,MCA,5
KRF,CGC,5
KRF,DRM,5
KRF,MSL,5
KRF,NB,5
KRF,MC,5
AAS,HAW,6
AAS,JCH,6
AAS,ACE,6
AAS,ASF,6
AAS,WCF,6
AAS,JMG,6
AAS,BCK,6
AAS,NLP,6
AAS,SAT,6
AAS,KRZ,6
AAS,CKG,6
DCMP,PS,8
DCMP,RS,8
DCMP,MC,8
TPM,LLA,9
TPM,LJ,9
WZS,FPG,10
WZS,VRC,10
WZS,CIA,10
JDGT,VSS,11
JDGT,DKP,11
JDGT,IM,11
JDGT,SS,11
MGT,GRV,12
MGT,TMRP,12
MGT,LFMC,12
MGT,CTC,12
MGT,SL,12
EJIP,SMG,13
EJIP,MLG,13
EJIP,FR,13
EJIP,GFH,13
EJIP,ED,13
CF,KJM,15
CF,MPK,15
CF,FSM,15
CF,FW,15
CF,HS,15
AR,NMB,16
AR,AMR,16
AR,JFS,16
AMMS,GG,18
AMMS,LGD,18
AMMS,CACM,18
CARF,JH,19
CARF,JOZ,19
CARF,SF,19
CARF,MVC,19
CARF,LC,19
PEGF,AR,20
RE,PA,21
RE,SCF,21
RE,OD,21
RE,DJ,21
RE,VCP,21
APR,CETT,22
APR,NAR,22
ASGP,JJN,23
ASGP,SLC,23
ASGP,LIG,23
FQA,DSU,24
RNGG,KSJT,25
RNGG,EMOP,25
RNGG,VSR,25
RNGG,PAOS,25
RNGG,FARP,25
AMC,KS,26
AMC,CFA,26
AMC,KAC,26
AMC,LARC,26
AMC,LCM,26
AMC,LFL,26
RCGL,LMP,28
RCGL,LAVB,28
RCGL,JISB,28
LSB,ELL,29
LSB,ZAS,29
LSB,DRGRB,29
LSB,LJ,29
LASM,GRD,33
LASM,WRMS,33
LASM,LRCL,33
LFL,AYC,34
LFL,RGG,34
LFL,CA,34
EPS,HHW,35
EPS,SFBF,35
EPS,TS,35
VCP,EK,36
VCP,DWR,36
VCP,REC,36
ALLS,PWL,37
ALLS,JA,37
ALLS,MMP,37
ALLS,MJF,37
JSS,LLW,38
JSS,LTB,38
JSS,ATBG,38
LPM,SRMC,39
LPM,LJ,39
LPM,DSV,39
MSK,CLZ,40
MSK,DJ,40
MSK,MLGA,40
GCA,KRP,41
GCA,JD,41
GCA,TJDG,41
RAB,JF,42
RAB,BEL,42
RAB,VMS,42
RAB,BDV,42
CY,SJW,43
CY,ATR,43
CY,ISW,43
CY,SC,43
CY,MCF,43
CM,CN,44
CM,DADS,44
CM,DE,44
CM,MCZ,44
CM,PF,44
CM,PP,44
CM,DG,44
CM,JAM,44
CM,REP,44
CM,CVZ,44
CM,ED,44
TS,VSS,45
TS,LMB,45
TS,DSM,45
TS,DKP,45
TS,VLL,45
TS,KTT,45
TS,JJM,45
TS,JS,45
TS,JH,45
NF,LGDZ,46
NF,HV,46
NF,JRR,46
RJC,TD,47
RJC,CP,47
GD,DEGG,48
GD,AM,48
GD,PC,48
SSR,JH,49
SSR,FOR,49
SSR,JPS,49
SSR,ASM,49
SSR,JDT,49
SSR,DGN,49
SSR,DPS,49
DAZG,LHT,50
DAZG,GHZA,50
DAZG,APVM,50
DAZG,EB,50
DAZG,JRB,50
DAZG,MLO,50
MSKO,MMPE,51
MSKO,LM,51
KVS,WPK,52
KVS,MFB,52
KVS,MAF,52
KVS,MSM,52
HL,TS,53
HL,NRT,53
HL,LFM,53
DKP,APB,54
DKP,CGA,54
DKP,AF,54
DKP,JDG,54
DKP,DGP,54
RSR,NK,55
RSR,BMC,55
RSR,CALR,55
RSR,ASC,55
RSR,GDC,55
RSR,RB,55
RSR,JAB,55
RSR,DAS,55
VCP,OD,57
VCP,CI,57
VCP,RE,57
VCP,PA,57
VCP,DJ,57
VCP,SCF,57
RLD,MPN,58
PPS,MGM,59
PPS,AS,59
PPS,AA,59
PPS,RU,59
BWS,JMB,60
BWS,DHF,60
BWS,WRF,60
BWS,TGO,60
BWS,AH,60
BWS,JKJ,60
BWS,MA,60
DSS,RC,61
DSS,MKT,61
DSS,AAMM,61
DSS,NAM,61
DSS,DAM,61
DSS,CL,61
DSS,BCA,61
DSS,GQR,61
DSS,VFF,61
DSS,IMB,61
DSS,ODD,61
DSS,EH,61
DSS,TBA,61
DSS,GCOP,61
DSS,FOB,61
DSS,JFC,61
DSS,JSL,61
DSS,GM,61
DSS,PAPA,61
DSS,RF,61
DSS,REE,61
DSS,ASL,61
DSS,PMO,61
DSS,ABC,61
EJC,LJ,62
MSL,MC,64
MSL,JCM,64
FC,SM,65
FC,MV,65
VSU,SFM,68
CV,MR,69
CV,NP,69
JFGP,ES,70
JFGP,CEC,70
CETT,GAPA,71
CETT,CJGS,71
CETT,CEGM,71
JGB,FOR,72
JGB,RTM,72
JGB,JLN,72
JGB,VCO,72
JGB,RMH,72
JGB,FRP,72
JGB,SFBF,72
JGB,NH,72
CVS,RH,73
FVN,FHS,74
FVN,APC,74
FVN,FOR,74
RJCO,MAEF,76
RJCO,KL,76
RJCO,LVB,76
RJCO,GP,76
RJCO,FCS,76
RJCO,IN,76
RJCO,PLMG,76
