Authors,Country,PubID
FPR,Colombia,1
JDB,Brazil,1
LBC,Brazil,1
ASG,Colombia,1
LJ,Brazil,1
RC,France,2
LF,France,2
CB,Brazil,2
JFC,France,2
AC,France,2
BC,France,2
VJ,France,2
JL,France,2
TR,France,2
VF,Brazil,2
CL,France,2
JM,Brazil,3
DPA,Brazil,3
WAS,Brazil,3
MRW,USA,3
WKD,USA,3
CCG,USA,3
VNL,Brazil,3
DC,Brazil,3
JJC,Brazil,3
TDR,Brazil,4
HBF,Brazil,4
LFS,Brazil,4
CYM,Brazil,4
MMC,Brazil,4
KRF,Brazil,5
MCA,Spain,5
CGC,Spain,5
DRM,Brazil,5
MSL,Brazil,5
NB,Spain,5
MC,Brazil,5
AAS,USA,6
HAW,USA,6
JCH,USA,6
ACE,Ecuador,6
ASF,USA,6
WCF,USA,6
JMG,Ecuador,6
BCK,USA,6
NLP,USA,6
SAT,USA,6
KRZ,USA,6
CKG,USA,6
DCMP,Brazil,8
PS,Brazil,8
RS,Brazil,8
TPM,Brazil,9
LLA,Brazil,9
WZS,Ecuador,10
FPG,Ecuador,10
VRC,Ecuador,10
CIA,Ecuador,10
JDGT,Colombia,11
VSS,Brazil,11
DKP,Brazil,11
IM,Spain,11
SS,Spain,11
MGT,Mexico,12
GRV,Mexico,12
TMRP,Mexico,12
LFMC,Mexico,12
CTC,Mexico,12
SL,Mexico,12
EJIP,Argentina,13
SMG,Argentina,13
MLG,Argentina,13
FR,Argentina,13
GFH,Argentina,13
ED,Argentina,13
CF,Argentina,15
KJM,Scotland,15
MPK,England,15
FSM,Argentina,15
FW,Zambia,15
HS,Zambia,15
AR,USA,16
NMB,USA,16
AMR,USA,16
JFS,USA,16
AMMS,Colombia,18
GG,Colombia,18
LGD,Colombia,18
CACM,Mexico,18
CARF,Brazil,19
JH,Finland,19
JOZ,Brazil,19
SF,Brazil,19
MVC,Brazil,19
LC,Brazil,19
PEGF,Costa Rica,20
RE,Ecuador,21
PA,Ecuador,21
SCF,France,21
OD,France,21
DJ,Denmark,21
VCP,Ecuador,21
APR,Colombia,22
CETT,Colombia,22
NAR,Colombia,22
ASGP,Argentina,23
JJN,Argentina,23
SLC,Argentina,23
LIG,Argentina,23
FQA,Costa Rica,24
DSU,Costa Rica,24
RNGG,Colombia,25
KSJT,Colombia,25
EMOP,Colombia,25
VSR,Brazil,25
PAOS,Colombia,25
FARP,Colombia,25
AMC,Panama,26
KS,Panama,26
CFA,Panama,26
KAC,Panama,26
LARC,Panama,26
LCM,Panama,26
LFL,Panama,26
RCGL,Brazil,28
LMP,Brazil,28
LAVB,Brazil,28
JISB,Brazil,28
LSB,Brazil,29
ELL,Brazil,29
ZAS,Brazil,29
DRGRB,Brazil,29
LASM,Brazil,33
GRD,Brazil,33
WRMS,Brazil,33
LRCL,Brazil,33
AYC,Panama,34
RGG,Panama,34
CA,Panama,34
